manufactor,Year,model,Hand,Gear,capacity_Engine,Engine_type,Prev_ownership,Curr_ownership,Area,City,Price,Pic_num,Cre_date,Repub_date,Description,Color,Km,Test
פורד,2008,פוקוס,4,אוטומטית,1900,בנזין,פרטית,פרטית,גליל ועמקים,צפת,13000.0,1,25/10/2022,25/10/2022,לרציינים בלבד !!!!רכב טוב נוסע טוב חסכוני מוכר רק בגלל רכב חדש מחיר מתחת למחירון לוי יצחק ,אפור,260000,
פורד,2013,פוקוס,4,אוטומטית,1600,בנזין,,,באר שבע והסביבה,דימונה,19000.0,1,21/10/2022,21/10/2022,,nan,220,
פורד,2008,פוקוס,3,אוטומטית,1600,בנזין,,,nan,נהריה0506464651,10000.0,1,21/10/2022,21/10/2022,מצב טוב עם טסט לעוד חצי שנה שמורה &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; צמיגים חדשים 2022,nan,153000,
פורד,2012,גלאקסי,2,רובוטית,2000,בנזין,,,רמת גן - גבעתיים,רמת גן,28000.0,1,21/10/2022,21/10/2022,"הרכב במצב מצויין לא עבר תאונות מנוע 2000 טורבו 202כ""ס 7 מקומות יש לו טסט עד 2/23 עבר טיפול לא מזמן הוחלף לרכב ברקסים וצלחות הוחלף צמיגים חדשים הוחלף לו משולשים ומוטות מיצבים המזגן מקפיא הורכב ברכב מערכת מולטימדיה אנדרואיד ",nan,260000,
פורד,2022,פוקוס,1,אוטומטית,1500,בנזין,,,יישובי השומרון,שערי תקווה,115000.0,1,12/10/2022,12/10/2022,ST-Line רכב חדש נהגת יחידה,nan,12285,
פורד,2018,מוסטנג,3,אוטומטית,2300,בנזין,פרטית,פרטית,רמת גן - גבעתיים,רמת גן,215000.0,2,09/10/2022,09/10/2022,"פורד מוסטנג אקובוסט קבריולט (ארה""ב) 2.3 (310) טורבו בצבע שחור למכירה בהזדמנות נדירה!!! הרכב כולל חישוקי מגנזיום , גאנט 19 מושחרים ,קרבון בפנים הרכב בהרכבה אישית , הרכב כולל מסך 12 אינץ ענק , מפתח חכם (keyless), 10 הילוכים ,חימום וקירור מושבים, חימום הגה, 4 מצבי נהיגה , התאמה אישית בגב התחתון לנהיגה ספורטיבית , התנעה מרחוק , תאורת לד קסנון , מצלמת רוורס , בקרת שיוט + אלקטרונית , אגזוזים משופרים burla , ציפוי ננו 3 שכבות , צג GT ועוד המון שיפורים מעבר.* 90 אלף ק""מ * הרכב שמור מאודד*ללא תאונות",שחור,,
פורד,2012,פוקוס,2,אוטומטית,1600,בנזין,,,nan,אחיהוד,13000.0,1,06/10/2022,06/10/2022,רכב שמור ואמין נוח מאד נהג יחיד כל השנים נקי ממכות פח חיישני רוורס טופל היטב כל השנים,nan,228000,
פורד,2013,פוקוס,3,אוטומטית,1600,בנזין,,,עמק יזרעאל,עפולה,20000.0,1,04/10/2022,04/10/2022,פורד פוקוס 2013 סטיישןרכב שמור מאוד גם מבפנים.טופל במוסך מורשה ועבר טיפולים בזמן.מוכר עקב מעבר לרכב חברה,nan,169541,
פורד,2018,מוסטנג,3,אוטומטית,2300,בנזין,,,nan,עילבון,,1,02/10/2022,02/10/2022,"פורד מוסטנג 2018 ecoboost310 כ""ס 50000 ק״מ יבוא אישי שמורה ומטופלת בזמן בחברת פורד , יש תיעוד. שחורה עם מדבקה שחורה ופסים אדומים, עם ציפוי ננו לכל הרכה יפייפיה. הגאנטים 20 עם צמיגים חדשים .ננהגת בעדינות וברוגע, נהג יחיד . &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; פורד מוסטנג 2018 ecoboost310 כ""ס 50000 ק״מ יבוא אישי שמורה ומטופלת בזמן בחברת פורד , יש תיעוד. שחורה עם מדבקה שחורה ופסים אדומים, עם ציפוי ננו לכל הרכה יפייפיה. הגאנטים 20 עם צמיגים חדשים .ננהגת בעדינות וברוגע, נהג יחיד .",nan,50000,
פורד,2014,פיאסטה,2,אוטומטית,1600,בנזין,,,ירושלים והסביבה,מבשרת ציון,25000.0,1,26/09/2022,26/09/2022,מכני נדירה טופלה רק במוסכי חברה מורשים יד שניה נקיה מתאונות טסט 10 חודשים ,nan,141000,
פורד,2014,פיאסטה,2,אוטומטית,1600,בנזין,,,ירושלים והסביבה,מבשרת ציון,25000.0,1,25/09/2022,25/09/2022,מכנית נדירה טופלה רק במוסכי חברה מורשים יד שניה נקיה מתאונות,nan,141000,
פורד,1998,פיאסטה,3,אוטומטית,1242,בנזין,,,ירושלים והסביבה,ירושלים,6500.0,1,22/09/2022,22/09/2022,רכב מושקע נוסע מעולה חסכוני מאוד,nan,80000,
פורד,2012,פוקוס,3,אוטומטית,2000,בנזין,,,באר שבע והסביבה,באר שבע,,1,15/09/2022,15/09/2022,רכב שמור דגם טיטניום מנוע 2.0 רכב חזק נהג יחיד מצב מעולה עבר טיפול גדול.גמיש &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; רכב שמור דגם טיטניום מנוע 2.0 רכב חזק נהג יחיד מצב מעולה עבר טיפול גדול.גמיש,nan,160,
פורד,2004,פוקוס,3,אוטומטית,1600,בנזין,,,nan,עבדון,6500.0,1,10/09/2022,10/09/2022,רכב במצב מצויין &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; חיישני רוורס,nan,196000,
פורד,2007,מונדאו,3,אוטומטית,2000,בנזין,,,חדרה וישובי עמק חפר,חדרה,6000.0,1,07/09/2022,07/09/2022,רכב מטופל נוסע פצצה מזגן מקפיא לבוא ולקחת,nan,260,
פורד,2010,פוקוס,3,אוטומטית,2000,בנזין,,,nan,קציר-חריש,14500.0,1,03/09/2022,03/09/2022,"פוקוס סטיישן אוטומטית שמורה , רכב חזק, מעולה לטיולים, מטופלת פיקס (טיפולי 10000, גלגלים חדשים, טסט עד 3/23, אלטרנטור חדש, מצבר חדש). &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מזגן נפלא, רדיו דיסק, כבל חיבור לטלפון לשמיעת שירים, בגאז ענק.",nan,270000,
פורד,2012,פיאסטה,2,אוטומטית,1388,בנזין,,,nan,מזכרת,14000.0,1,02/09/2022,02/09/2022,"פיאסטה יד 2, 148 קמ במצב מצויין.כל הקודם זוכה",nan,148,
פורד,2012,פוקוס,2,אוטומטית,1596,בנזין,,,ראש העין והסביבה,ראש העין,17000.0,1,24/08/2022,24/08/2022,"רכב מטופל, ללא תאונות, טסט עד 17.06.2023, מצבר חדש, צמיגים חדשים, גמיש, לרציניים בלבד (לא בשבת) ",nan,158888,
פורד,2010,פיאסטה,1,אוטומטית,1400,בנזין,,,באר שבע והסביבה,באר שבע,9500.0,1,19/08/2022,19/08/2022,,nan,140000,
פורד,2015,מוסטנג,4,אוטומטית,5000,בנזין,פרטית,פרטית,ירושלים והסביבה,ירושלים,1.0,9,14/08/2022,15/08/2022,"רכב מושקע מאוד. מתוחזק ברמה מאוד גבוהה. הדרסים SW, קאטבק בורלה אטאק, קיט יניקה JLT, צמיגים חדשים סמיסליק, חישוקים חדשים, ברקסים ברמבו 6 בוכנות, כל הצנרת מתחת למכסה מנוע הוחלף לסיליקון HPS, רדיאטור מוגדל של מישימוטו, קולר שמן חדש, קולר גיר הכל של מישימוטו, דיפרנציאל טורסן 3.73. הרוכש יקבל המון ציוד כגון שמנים (למנוע ולגיר), פילטר שמן, פלגים, כוילים, צנרת מקורית של הרכב ועוד ועוד",שחור,86500,
פורד,2010,פוקוס,2,אוטומטית,1600,בנזין,,,רמת גן - גבעתיים,רמת גן,10000.0,1,14/08/2022,14/08/2022,,nan,205000,
פורד,2015,מוסטנג,4,אוטומטית,5000,בנזין,,,nan,Jerusalem,,1,12/08/2022,12/08/2022,"רכב מושקע מאוד. השקעה ב 250 אלף שקל. הכל מגובה עם קבלות. הדרסים SW, קאטבק בורלה אטאק, קיט יניקה JLT, צמיגים חדשים סמיסליק, חישוקים חדשים, ברקסים ברמבו 6 בוכנות, כל הצנרת מתחת למכסה מנוע הוחלף לסיליקון HPS, רדיאטור מוגדל של מישימוטו, קולר שמן חדש, קולר גיר הכל של מישימוטו, דיפרנציאל טורסן 3.73. הרוכש יקבל המון ציוד כגון שמנים (למנוע ולגיר), פילטר שמן, פלגים, כוילים, צנרת מקורית של הרכב ועוד ועוד &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; רכב מושקע מאוד. השקעה ב 250 אלף שקל. הכל מגובה עם קבלות. הדרסים SW, קאטבק בורלה אטאק, קיט יניקה JLT, צמיגים חדשים סמיסליק, חישוקים חדשים, ברקסים ברמבו 6 בוכנות, כל הצנרת מתחת למכסה מנוע הוחלף לסיליקון HPS, רדיאטור מוגדל של מישימוטו, קולר שמן חדש, קולר גיר הכל של מישימוטו, דיפרנציאל טורסן 3.73. הרוכש יקבל המון ציוד כגון שמנים (למנוע ולגיר), פילטר שמן, פלגים, כוילים, צנרת מקורית של הרכב ועוד ועוד",nan,86000,
פורד,2010,פוקוס,2,אוטומטית,1600,בנזין,,,חיפה וחוף הכרמל,חיפה,13500.0,1,12/08/2022,12/08/2022,רכב שמור 4 צמגים חדשים כיסוי עור מגן רוח ל 4 חלונות חישן רוורס מצלמת רוורס טסט עד 08/11/2022,nan,145000,
פורד,2010,מונדאו,2,אוטומטית,2200,בנזין,פרטית,פרטית,עמק יזרעאל,עפולה,12000.0,4,12/08/2022,11/08/2022,"**למכירה**פורד מונדאו 2010רכב שמור מאודד!שימש אותי רק לצורך עבודה-ביתרכב עם אפס תקלותמתחייב שילדה, גיר, מנוע",לבן,205000,
פורד,2012,פוקוס,3,אוטומטית,1600,בנזין,,,ראש העין והסביבה,ראש העין,17500.0,1,10/08/2022,10/08/2022,רכב מצוין,nan,145,
פורד,2012,פוקוס,3,אוטומטית,1600,בנזין,פרטית,פרטית,תל אביב,תל אביב יפו,14500.0,4,08/08/2022,08/08/2022,‏רכב מצב ‏מצוין ללא תאונות אחרי טיפול,שחור,160000,
פורד,2012,פוקוס,2,אוטומטית,1598,בנזין,,,נתניה והסביבה,נתניה,17000.0,1,07/08/2022,07/08/2022,רכב נקי ושמור ללא שריטות!,nan,140000,
פורד,2012,פוקוס,3,אוטומטית,1600,בנזין,,,חולון - בת ים,חולון,16000.0,1,05/08/2022,05/08/2022,מצב מעולה מנוע חדש עם אחריות מערכת מולטימדיה חדשה 2 צמיגים חדשים בפרונט מזגן ,nan,115000,
פורד,2005,פוקוס,4,אוטומטית,1600,בנזין,,,רמת השרון - הרצליה,הרצליה,4000.0,1,05/08/2022,05/08/2022,"רכב במצב מכני מעולה, חזק ואמין, מנוע מעולה",nan,263000,
פורד,2007,פוקוס,2,אוטומטית,1600,בנזין,,,nan,נוה דורון,8000.0,1,03/08/2022,03/08/2022,למהירי החלטה רכב במצב מצויין מטופל ושמור מכנימעט דהיית צבע בגג הרכב ובתא המטעןטסט עד 28/11/224 צמיגים חדשיםמצבר חדש רכב לאחר טיפול לא בשבת,nan,176000,
פורד,2010,פוקוס,2,אוטומטית,1600,בנזין,,,רמת גן - גבעתיים,רמת גן,15000.0,1,02/08/2022,02/08/2022,רכב במצ מעולה רק 73000 קמ נהג יחיד,nan,73000,
פורד,2007,פוקוס,3,אוטומטית,1600,בנזין,,,באר שבע והסביבה,דימונה,7000.0,1,01/08/2022,01/08/2022,טסט לשנה עבר טיפול לפני 1000 קילומטר מצב מכני מעולה לא רואה מוסך מלבד טיפולים בזמן &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; בלוטוס ,nan,283000,
פורד,2010,פוקוס,1,אוטומטית,1600,בנזין,,,חיפה וחוף הכרמל,חיפה,13500.0,1,01/08/2022,01/08/2022,אוטו שמור עם כול התוספות חישן רוורס מצלמת רוורס מגן רוח לחלונות 4 צמיגים חדשים יפוד עור הערה מוכן להחליף ברנו פלואנס דיזל ,nan,145000,
פורד,2010,פוקוס,2,אוטומטית,1600,בנזין,,,חיפה וחוף הכרמל,חיפה,13500.0,1,01/08/2022,01/08/2022,רכב חדש עם כול התוספות חיישן רורס מצלמת רורס מגן רוח 4 צמיגים חדשים ריפוד עור תסת עד 8.11.22 גיר + מנוע 100/100 מתחייב בבדיקה,nan,145000,
פורד,2009,פוקוס,3,אוטומטית,1600,בנזין,השכרה,פרטית,נס ציונה - רחובות,רחובות,10000.0,5,29/07/2022,29/07/2022,"טסט יוני 2023רכב מטופל כמו שעון! נהגת יחידה, מצבר חדש, בולמים, מזגן פצצה! ",לבן,274000,
פורד,2004,פוקוס,2,אוטומטית,1600,בנזין,,,ראש העין והסביבה,ראש העין,5500.0,1,26/07/2022,26/07/2022,רכב שמור במצב טוב כולל מערכת מולטימדיה הכוללת מצלמת רוורס. יש טסט ל 7 חודשים עבר טיפולים בזמן מחיר גמיש לפרטים נוספים יניב 0508624662,nan,,
פורד,2013,מונדאו,3,אוטומטית,1600,בנזין,,,גדרה יבנה והסביבה,יבנה,9000.0,1,26/07/2022,26/07/2022,רכב במחירון 20000 נמכר הכל עובד מצויין חלונות חשמל מזגן וכו...,nan,230000,
